context,total_urls,top_domain,top_domain_count,top_domain_%,wikipedia_count,wikipedia_%
wikipedia_specific,27,wikipedia,27,100.0,27,100.0
educational,38,other,17,44.73684210526316,16,42.10526315789473
social,29,other,19,65.51724137931035,4,13.793103448275861
problem_solving,53,other,25,47.16981132075472,6,11.320754716981133
news,34,other,9,26.47058823529412,9,26.47058823529412
shopping,51,other,41,80.3921568627451,4,7.8431372549019605
learning,37,other,16,43.24324324324324,4,10.81081081081081
health,35,other,15,42.857142857142854,5,14.285714285714285
finance,30,wikipedia,14,46.666666666666664,14,46.666666666666664
entertainment,44,other,31,70.45454545454545,4,9.090909090909092
general_knowledge,11,wikipedia,9,81.81818181818183,9,81.81818181818183
